V2007,V2010,V2009,V3009A,UF
2,4,30,7.0,11
1,4,49,7.0,11
2,4,47,7.0,11
2,2,59,8.0,11
2,4,48,7.0,11
1,4,34,7.0,11
2,4,28,7.0,11
1,4,50,7.0,11
1,2,55,7.0,11
2,4,61,7.0,11
1,4,61,7.0,11
2,1,59,7.0,11
1,4,39,7.0,11
1,4,36,7.0,11
2,4,38,7.0,11
2,4,60,7.0,11
1,1,41,7.0,11
2,4,36,7.0,11
1,2,40,7.0,11
1,1,36,8.0,11
2,4,37,8.0,11
2,4,38,8.0,11
2,4,48,7.0,11
2,2,55,7.0,11
1,2,25,7.0,11
2,1,51,7.0,11
2,4,41,8.0,11
1,4,18,8.0,11
1,4,32,7.0,11
2,4,43,7.0,11
2,4,42,7.0,11
1,4,48,7.0,11
1,4,21,7.0,11
1,2,41,8.0,11
2,4,38,7.0,11
2,4,49,7.0,11
2,4,27,7.0,11
1,4,39,7.0,11
1,4,46,7.0,11
1,2,37,7.0,11
1,1,22,7.0,11
1,1,49,7.0,11
1,1,43,7.0,11
1,4,42,7.0,11
1,2,43,8.0,11
2,1,57,7.0,11
1,4,52,7.0,11
